ID,latitude,longitude,DOY,maximum_temperature,minimum_temperature,wind_speed,precipitation,precipitation_severity,Crop,Area,Field
COORD:36.2363/59.6311DOY:94,36.2363,59.6311,94,26.1,9.8,3.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:95,36.2363,59.6311,95,16,10.3,5.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:96,36.2363,59.6311,96,15.2,8.3,4,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:97,36.2363,59.6311,97,17,6.8,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:98,36.2363,59.6311,98,11.4,7.9,2.88,3.5,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:99,36.2363,59.6311,99,18.2,5.6,3.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:100,36.2363,59.6311,100,20,6.3,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:101,36.2363,59.6311,101,22.2,6.4,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:102,36.2363,59.6311,102,24.5,7.6,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:103,36.2363,59.6311,103,25.2,9.2,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:104,36.2363,59.6311,104,18.9,13.6,3.62,19.2,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:105,36.2363,59.6311,105,12.4,9.1,4.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:106,36.2363,59.6311,106,8.9,8.2,5.25,6,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:107,36.2363,59.6311,107,5.2,1,3.38,4.4,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:108,36.2363,59.6311,108,10.8,3.6,2.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:109,36.2363,59.6311,109,15.1,5.9,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:110,36.2363,59.6311,110,24.2,5.7,2,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:111,36.2363,59.6311,111,29,8.4,4,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:112,36.2363,59.6311,112,29.7,17.1,5.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:113,36.2363,59.6311,113,27.7,13.4,4.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:114,36.2363,59.6311,114,20.2,12.2,4.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:115,36.2363,59.6311,115,21.7,12.9,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:116,36.2363,59.6311,116,24,10.6,3.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:117,36.2363,59.6311,117,24.2,9.7,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:118,36.2363,59.6311,118,29.7,10.6,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:119,36.2363,59.6311,119,31.6,16.3,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:120,36.2363,59.6311,120,20.6,13.5,5.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:121,36.2363,59.6311,121,20.3,12.1,3.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:122,36.2363,59.6311,122,23.4,10.7,4,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:123,36.2363,59.6311,123,25.6,9.1,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:124,36.2363,59.6311,124,26.6,11.7,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:125,36.2363,59.6311,125,28.5,13.1,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:126,36.2363,59.6311,126,24.8,12.1,3.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:127,36.2363,59.6311,127,28.5,15.7,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:128,36.2363,59.6311,128,32.2,13.4,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:129,36.2363,59.6311,129,36.1,16.7,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:130,36.2363,59.6311,130,34.1,20.7,3.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:131,36.2363,59.6311,131,26.5,16.9,3.88,3.8,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:132,36.2363,59.6311,132,28.2,11.6,2.88,1.9,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:133,36.2363,59.6311,133,24.9,14.3,2.5,0.3,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:134,36.2363,59.6311,134,25.5,12.6,3.5,2,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:135,36.2363,59.6311,135,19.1,13,3.12,23,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:136,36.2363,59.6311,136,20.1,13.2,2,5.1,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:137,36.2363,59.6311,137,17.9,12.9,1.88,5.7,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:138,36.2363,59.6311,138,23.8,11.4,3.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:139,36.2363,59.6311,139,25.3,10.2,2.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:140,36.2363,59.6311,140,26.3,10.8,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:141,36.2363,59.6311,141,27.5,12.7,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:142,36.2363,59.6311,142,29.5,13.7,2.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:143,36.2363,59.6311,143,30.1,14,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:144,36.2363,59.6311,144,30.3,14.1,3.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:145,36.2363,59.6311,145,31.8,14.8,1.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:146,36.2363,59.6311,146,35.6,16,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:147,36.2363,59.6311,147,33,19.2,3.75,16,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:148,36.2363,59.6311,148,24.1,14.2,3.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:149,36.2363,59.6311,149,30,13.7,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:150,36.2363,59.6311,150,28,15.4,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:151,36.2363,59.6311,151,33.2,15.6,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:152,36.2363,59.6311,152,38.1,19.1,2,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:153,36.2363,59.6311,153,34.8,22.6,2.88,2,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:154,36.2363,59.6311,154,27.6,18,4.75,0.1,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:155,36.2363,59.6311,155,29.6,17.3,3.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:156,36.2363,59.6311,156,36.9,18.4,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:157,36.2363,59.6311,157,40.1,21.2,1.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:158,36.2363,59.6311,158,36.9,23.3,3.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:159,36.2363,59.6311,159,32.6,22.2,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:160,36.2363,59.6311,160,33,20,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:161,36.2363,59.6311,161,30.8,19,4.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:162,36.2363,59.6311,162,33.3,17.9,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:163,36.2363,59.6311,163,33,19.6,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:164,36.2363,59.6311,164,31.4,19.8,3.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:165,36.2363,59.6311,165,29,18.1,4.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:166,36.2363,59.6311,166,30.1,17.6,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:167,36.2363,59.6311,167,32.9,17.5,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:168,36.2363,59.6311,168,34.9,18.2,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:169,36.2363,59.6311,169,35.9,19.2,2.25,0,2,Soy,Mashhad,40745
